Organization Name,Organization Name URL,Categories,Full Description
Abcam,https://www.crunchbase.com/organization/abcam,"Biotechnology, E-Commerce, Events, Medical","Abcam is a producer and distributor of high quality research-grade antibodies and associated proteomics research products; antibodies are essential tools for life scientists that enable them to analyse components of living cells at the molecular level.   Since it was founded in 1998 by Dr. Jonathan Milner, Abcam has enjoyed rapid growth and is widely accredited as a leading company in its industry, with annualized turnover in excess of Â£60 million and growing.  Headquartered in Cambridge (UK), Abcam has subsidiaries in Cambridge and Eugene (US), Tokyo (Japan) and Hong Kong (China), allowing them to serve a global customer base of over 75 countries.  Abcam revolutionized the buying of antibodies via its website and their online catalogue consists of tens of thousands of products, supported by hundreds of thousands of pages of accompanying data.  This includes a growing range of non-antibody products such as proteins, peptides, lysates, immunoassays and other kits, which will continue as the business expands in the broader protein detection and regulation market.  A key component in the success of Abcam comes from the speed with which it can bring products to market and itâ€™s customer support efficiency.  This enables scientists to find products with specific characteristics quickly, thus speeding up the pace of research into important diseases like cancer and coronary heart disease.  Abcamâ€™s in-house expertise means they are able to source products and supplementary resources for the newest and fastest growing research areas such as Cancer, Cardiovascular, Chromatin, Immunology, Neuroscience and Stem Cells."
AbleTo,https://www.crunchbase.com/organization/ableto,"Health Care, Wellness","AbleTo is a technology-enabled provider of mental health care. Headquartered in New York City, AbleTo provides care nationwide via a network of licensed-therapists and coaches."
Absorb LMS,https://www.crunchbase.com/organization/absorb-lms,"Internet, Software, Training",Absorb LMS is the learning management system that learners and administrators will love.
Abstract,https://www.crunchbase.com/organization/abstract,"Apps, Software, Web Apps, Web Design","Abstract is a design and workflow platform that helps designers work together. Abstract builds upon and extends the stable technology of Git to host and manage your work. In 2015, Josh (CEO) and Kevin (CTO) were working together at Habitat when the frequent game of “where’s the latest design” finally drove Kevin to ask, “Why don’t designers have proper version control?” Designers have always been a flexible bunch. Dedicated to bringing great ideas to life and willing to use every possible tool and jump through all kinds of hoops to get their work done. Unfortunately, too much of the design toolset is focused on creating isolated artifacts instead of supporting connected workflows. Designers need more support for half of their job that isn’t drawing shapes, choosing typefaces, or prototyping interactions. The majority of a design job is orchestrating the team, ensuring visual consistency, updating stakeholders, documenting decisions, interpreting feedback, and delivering the work for implementation. When you look at it this way, it becomes clear. We don’t need more visual design tools. We need help managing our work and how design relates to the rest of the organization. So began Abstract. The company's evolving answer to how we believe modern design teams will work. A collaborative, transparent, and effective way to design.   At Abstract, we are actively working to build a diverse and inclusive organization. Here, diversity includes age, economic class, educational background, ethnic variance, familial status, gender, gender expression, gender identity, marital status, national origin, religious affiliation, sex, sexual orientation, transgender status, or veteran status."
Ablacon,https://www.crunchbase.com/organization/ablacon,"Machine Learning, Therapeutics","Ablacon has built a premier machine intelligence system to quantitatively and qualitatively understand and treat atrial fibrillation (AF).Their technology visualizes in real-time what is going on in the heart. They compute the electrographic flow which allows to treat atrial fibrillation faster, more precisely and more reliably."
AB Tasty,https://www.crunchbase.com/organization/ab-tasty,"Advertising, Analytics, E-Commerce, Test and Measurement",AB Tasty is a SaaS-based application that enables e-marketers to optimize their website and conversion rate without technical knowledge. It offers an easy-to-use and feature-packed solution to run all kinds of A/B and multivariate tests with minimal technical integration.
Abra,https://www.crunchbase.com/organization/abra,"Bitcoin, Financial Services, Peer to Peer, Transaction Processing","Abra is the world’s first digital cash, peer-to-peer money transfer network. Buy, sell, and hold bitcoin or send bitcoin or fiat to any bitcoin wallet or any other Abra user instantly and securely. Abra uses bitcoin and blockchain technology to enable users to transact in over 50 currencies, including bitcoin. Founded in 2014 by Bill Barhydt, serial entrepreneur and global mobile-banking veteran, their team is based in Silicon Valley and committed to forever changing how the world moves money."
ABBYY,https://www.crunchbase.com/organization/abbyy,"Communications Infrastructure, Data Visualization, Software","ABBYY is a leading provider of document conversion, data capture, and linguistic software and services. The key areas of ABBYY's research and development include document recognition and linguistic technologies. ABBYY's recognition technologies and products help people manage the increasing amount of information delivering powerful instruments which enable them to: unlock information from paper and images, automatically acquire data, and process and store valuable information. Using recognition and data capture products, people save money and effort typically spent on data entry, and benefit from the ability to access information in new, more efficient ways. Our linguistic products help break down language barriers, facilitating easier and clearer communication."
ABILITY Network,https://www.crunchbase.com/organization/ability-network,"Health Care, Hospital, Medical","ABILITY Network formerly VisionShare is helping create a healthier America by transforming how care is delivered using the Internet. Over the last ten years, they have been working in the background connecting thousands of hospitals, skilled nursing facilities, home health agencies, clinics, and tens of thousands of physicians across the country with each other, and with the nation's largest payer: Medicare. By earning the trust of their healthcare providers and the federal government each day, they have built the largest, web-based secure healthcare network in the country which now facilitates millions of transactions every day.  Today, a majority of the large provider organizations across the country, including over 3,000 hospitals, as well as many leading healthcare technology companies, trust ABILITY to communicate with their healthcare partners."
ABEJA,https://www.crunchbase.com/organization/abeja-inc-,"Analytics, Artificial Intelligence, Big Data, Machine Learning","ABEJA is a platform that integrate state-of-the-art AI technologies including IoT, big data and deep learning and enables to carry out sophisticated analyses with accumulated data. Also, on the basis of the platform, ABEJA offers variety of services optimized for each industries, especially for Retail, Manufacture, Infrastructure."
